
TYPE,STATUS,START,END
ARCHIVELOG,OK,2017-02-07 14:02:37,2017-02-07 14:03:53
DB INCR,OK,2017-02-07 17:19:35,2017-02-07 17:31:01
ARCHIVELOG,OK,2017-02-07 18:02:09,2017-02-07 18:03:23
ARCHIVELOG,OK,2017-02-07 22:03:05,2017-02-07 22:04:30
DB INCR,OK,2017-02-08 05:02:49,2017-02-08 05:08:04
ARCHIVELOG,OK,2017-02-08 06:04:03,2017-02-08 06:05:15
ARCHIVELOG,OK,2017-02-08 10:02:23,2017-02-08 10:03:49
ARCHIVELOG,OK,2017-02-08 14:01:59,2017-02-08 14:03:33
ARCHIVELOG,OK,2017-02-08 18:02:55,2017-02-08 18:04:37
ARCHIVELOG,OK,2017-02-08 22:02:26,2017-02-08 22:04:04
DB INCR,OK,2017-02-09 05:02:02,2017-02-09 05:07:16
ARCHIVELOG,NOK,2017-02-09 06:02:31,2017-02-09 12:03:40
ARCHIVELOG,NOK,2017-02-09 13:26:45,2017-02-09 13:31:00
ARCHIVELOG,OK,2017-02-09 14:03:43,2017-02-09 14:05:28
ARCHIVELOG,OK,2017-02-09 14:34:31,2017-02-09 14:35:46
ARCHIVELOG,OK,2017-02-09 18:03:18,2017-02-09 18:05:11
ARCHIVELOG,OK,2017-02-09 22:02:28,2017-02-09 22:03:53
DB INCR,OK,2017-02-10 05:03:44,2017-02-10 05:08:49
ARCHIVELOG,OK,2017-02-10 06:04:05,2017-02-10 06:05:15
ARCHIVELOG,OK,2017-02-10 10:02:25,2017-02-10 10:04:11
ARCHIVELOG,OK,2017-02-10 14:03:01,2017-02-10 14:04:38
ARCHIVELOG,OK,2017-02-10 18:02:57,2017-02-10 18:04:45
ARCHIVELOG,OK,2017-02-10 22:02:38,2017-02-10 22:03:56
DB INCR,OK,2017-02-11 05:03:20,2017-02-11 05:08:00
ARCHIVELOG,OK,2017-02-11 06:03:25,2017-02-11 06:04:35
ARCHIVELOG,OK,2017-02-11 10:02:32,2017-02-11 10:03:57
ARCHIVELOG,OK,2017-02-11 14:02:32,2017-02-11 14:03:59
ARCHIVELOG,OK,2017-02-11 18:02:46,2017-02-11 18:04:40
ARCHIVELOG,OK,2017-02-11 22:02:20,2017-02-11 22:04:23
DB INCR,OK,2017-02-12 05:00:45,2017-02-12 05:37:00
ARCHIVELOG,OK,2017-02-12 06:02:50,2017-02-12 06:04:10
ARCHIVELOG,OK,2017-02-12 10:01:48,2017-02-12 10:03:40
ARCHIVELOG,OK,2017-02-12 14:02:06,2017-02-12 14:03:39
ARCHIVELOG,OK,2017-02-12 18:02:05,2017-02-12 18:04:05
ARCHIVELOG,OK,2017-02-12 22:01:50,2017-02-12 22:03:14
DB INCR,OK,2017-02-13 05:01:57,2017-02-13 05:07:03
ARCHIVELOG,OK,2017-02-13 06:02:46,2017-02-13 06:04:07
ARCHIVELOG,OK,2017-02-13 10:02:21,2017-02-13 10:03:57
ARCHIVELOG,OK,2017-02-13 14:01:49,2017-02-13 14:03:30
ARCHIVELOG,OK,2017-02-13 18:01:45,2017-02-13 18:03:48
ARCHIVELOG,OK,2017-02-13 22:02:53,2017-02-13 22:04:20
DB INCR,OK,2017-02-14 05:03:24,2017-02-14 05:08:26
ARCHIVELOG,OK,2017-02-14 06:04:49,2017-02-14 06:06:01
ARCHIVELOG,OK,2017-02-14 10:05:00,2017-02-14 10:06:41
ARCHIVELOG,OK,2017-02-14 14:05:16,2017-02-14 14:07:04
ARCHIVELOG,OK,2017-02-14 18:02:30,2017-02-14 18:04:55
ARCHIVELOG,OK,2017-02-14 22:02:33,2017-02-14 22:04:07
DB INCR,OK,2017-02-15 05:01:39,2017-02-15 05:07:21
ARCHIVELOG,OK,2017-02-15 06:01:26,2017-02-15 06:02:46
ARCHIVELOG,OK,2017-02-15 10:05:13,2017-02-15 10:06:45
ARCHIVELOG,OK,2017-02-15 18:04:50,2017-02-15 18:07:17
ARCHIVELOG,OK,2017-02-15 22:03:20,2017-02-15 22:04:55
DB INCR,OK,2017-02-16 05:01:43,2017-02-16 05:06:45
ARCHIVELOG,OK,2017-02-16 06:01:43,2017-02-16 06:03:06
ARCHIVELOG,OK,2017-02-16 10:02:38,2017-02-16 10:04:05
ARCHIVELOG,OK,2017-02-16 14:02:41,2017-02-16 14:04:28
ARCHIVELOG,OK,2017-02-16 22:01:45,2017-02-16 22:04:27
DB INCR,OK,2017-02-17 05:02:03,2017-02-17 05:07:31
ARCHIVELOG,OK,2017-02-17 06:01:34,2017-02-17 06:02:56
ARCHIVELOG,OK,2017-02-17 10:02:37,2017-02-17 10:04:27
ARCHIVELOG,OK,2017-02-17 14:01:40,2017-02-17 14:03:22
ARCHIVELOG,OK,2017-02-17 18:02:11,2017-02-17 18:04:06
ARCHIVELOG,OK,2017-02-17 22:02:44,2017-02-17 22:05:31
DB INCR,OK,2017-02-18 05:01:21,2017-02-18 05:06:46
ARCHIVELOG,OK,2017-02-18 06:01:54,2017-02-18 06:03:07
ARCHIVELOG,OK,2017-02-18 10:04:14,2017-02-18 10:05:59
ARCHIVELOG,OK,2017-02-18 14:03:00,2017-02-18 14:04:43
ARCHIVELOG,OK,2017-02-18 18:03:44,2017-02-18 18:05:39
ARCHIVELOG,OK,2017-02-18 22:02:37,2017-02-18 22:04:06
DB INCR,OK,2017-02-19 05:02:25,2017-02-19 05:30:42
ARCHIVELOG,OK,2017-02-19 06:00:59,2017-02-19 06:02:13
ARCHIVELOG,OK,2017-02-19 10:04:14,2017-02-19 10:06:14
ARCHIVELOG,OK,2017-02-19 14:03:10,2017-02-19 14:05:01
ARCHIVELOG,OK,2017-02-19 18:02:52,2017-02-19 18:05:06
ARCHIVELOG,OK,2017-02-19 22:03:19,2017-02-19 22:04:49
DB INCR,OK,2017-02-20 05:01:40,2017-02-20 05:07:23
ARCHIVELOG,OK,2017-02-20 06:02:39,2017-02-20 06:03:44
ARCHIVELOG,OK,2017-02-20 10:02:50,2017-02-20 10:04:24
ARCHIVELOG,OK,2017-02-20 14:04:25,2017-02-20 14:06:01
ARCHIVELOG,OK,2017-02-20 22:04:15,2017-02-20 22:06:41
DB INCR,OK,2017-02-21 05:00:52,2017-02-21 05:06:33
ARCHIVELOG,OK,2017-02-21 06:01:25,2017-02-21 06:02:48
ARCHIVELOG,NOK,2017-02-21 10:03:52,2017-02-21 11:34:21
ARCHIVELOG,OK,2017-02-21 14:01:44,2017-02-21 14:04:18
ARCHIVELOG,OK,2017-02-21 18:01:53,2017-02-21 18:03:56
ARCHIVELOG,OK,2017-02-21 22:01:42,2017-02-21 22:03:23
DB INCR,OK,2017-02-22 05:00:53,2017-02-22 05:06:23
ARCHIVELOG,OK,2017-02-22 06:02:05,2017-02-22 06:03:17
ARCHIVELOG,OK,2017-02-22 10:01:22,2017-02-22 10:03:28
ARCHIVELOG,OK,2017-02-22 14:01:51,2017-02-22 14:03:26
ARCHIVELOG,OK,2017-02-22 18:04:47,2017-02-22 18:06:19
