SEG,START,END
SYSTEM,128,136
SYSTEM,136,144
C_OBJ#,144,152
C_OBJ#,152,160
C_OBJ#,160,168
I_OBJ#,168,176
C_TS#,176,184
I_TS#,184,192
C_FILE#_BLOCK#,192,200
I_FILE#_BLOCK#,200,208
C_USER#,208,216
I_USER#,216,224
UNDO$,224,232
FILE$,232,240
OBJ$,240,248
PROXY_DATA$,248,256
I_PROXY_DATA$,256,264
PROXY_ROLE_DATA$,264,272
I_PROXY_ROLE_DATA$_1,272,280
I_PROXY_ROLE_DATA$_2,280,288
CON$,288,296
C_COBJ#,296,304
I_COBJ#,304,312
I_TAB1,312,320
I_UNDO1,320,328
I_UNDO2,328,336
I_OBJ1,336,344
I_OBJ2,344,352
I_OBJ3,352,360
I_OBJ4,360,368
I_OBJ5,368,376
I_IND1,376,384
I_ICOL1,384,392
I_FILE1,392,400
I_FILE2,400,408
I_TS1,408,416
I_USER1,416,424
I_USER2,424,432
I_COL1,432,440
I_COL2,440,448
I_COL3,448,456
I_CON1,456,464
I_CON2,464,472
I_CDEF1,472,480
I_CDEF2,480,488
I_CDEF3,488,496
I_CDEF4,496,504
I_CCOL1,504,512
I_CCOL2,512,520
BOOTSTRAP$,520,528
SYSTEM,528,536
SYSTEM,536,544
SYSTEM,544,552
SYSTEM,552,560
OBJERROR$,560,568
OBJAUTH$,568,576
I_OBJAUTH1,576,584
I_OBJAUTH2,584,592
UGROUP$,592,600
I_UGROUP1,600,608
I_UGROUP2,608,616
SYN$,616,624
VIEW$,624,632
TYPED_VIEW$,632,640
SUPEROBJ$,640,648
I_SUPEROBJ1,648,656
I_SUPEROBJ2,656,664
SEQ$,664,672
I_VIEW1,672,680
I_TYPED_VIEW1,680,688
I_SYN1,688,696
I_SYN2,696,704
I_SEQ1,704,712
I_LOB1,712,720
I_LOB2,720,728
I_COLTYPE1,728,736
I_COLTYPE2,736,744
I_SUBCOLTYPE1,744,752
I_NTAB1,752,760
I_NTAB2,760,768
I_NTAB3,768,776
I_REFCON1,776,784
I_REFCON2,784,792
I_OPQTYPE1,792,800
PROPS$,800,808
EDITION$,808,816
FIXED_OBJ$,816,824
I_FIXED_OBJ$_OBJ#,824,832
MIGRATE$,832,840
DEPENDENCY$,840,848
ACCESS$,848,856
I_DEPENDENCY1,856,864
I_DEPENDENCY2,864,872
I_ACCESS1,872,880
VIEWCON$,880,888
SYS_LOB0000000109C00005$$,888,896
SYS_IL0000000109C00005$$,896,904
I_VIEWCON1,904,912
I_VIEWCON2,912,920
I_ICOLDEP$_OBJ,920,928
DUAL,928,936
SYSAUTH$,936,944
OBJPRIV$,944,952
DEFROLE$,952,960
I_SYSAUTH1,960,968
I_DEFROLE1,968,976
ECOL$,976,984
SYS_LOB0000000123C00003$$,984,992
SYS_IL0000000123C00003$$,992,1000
ECOL_IX1,1000,1008
EV$,1008,1016
I_EV1,1016,1024
I_EV2,1024,1032
EVCOL$,1032,1040
I_EVCOL1,1040,1048
DEFERRED_STG$,1048,1056
I_DEFERRED_STG1,1056,1064
SQLERROR$,1064,1072
LINK$,1072,1080
